name,ttm,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalOperatingIncomeAsReported,"-936,927,156.85","-1,119,981,560.26","-412,793,085.73","138,165,603.96","-109,236,210.31","19,301,488.11","686,729.63"
RentExpenseSupplemental,,"32,754,990.89","10,416,070.6","6,336,103.04","2,650,167.96","2,412,435.14","855,572.58"
TotalExpenses,"10,767,962,085.23","4,644,797,810.97","1,442,217,725.47","2,431,174,798.86","2,445,667,560.36","1,273,516,610.56","465,702,218.7"
NetIncomeFromContinuingAndDiscontinuedOperation,"-810,413,977.33","-952,720,292.43","-331,004,259.32","131,227,665.49","-78,214,828.3","18,261,332.45","7,343,587.82"
NormalizedIncome,"-587,697,659.282","-985,716,540.62","-206,697,698.267","157,465,160.835","-22,436,919.742","48,294,514.577","9,627,962.947"
InterestIncome,"54,516,119.07","47,178,867.08","72,806,842.58","51,254,219.94","28,400,140.09","1,092,564.87","257,549.8"
InterestExpense,"144,046,689.6","70,424,358.85","19,720,338.36","24,564,790.5","21,969,021.53","11,252,704.62","2,013,843.49"
NetInterestIncome,"-76,123,419.14","-32,213,515.79","51,111,186.11","17,018,163.78","2,457,730.21","-12,938,005.17","-2,130,290.31"
EBIT,"-789,926,173.19","-1,047,487,379.26","-389,462,267.78","166,846,796.18","-80,378,480.41","31,159,102.54","9,642,963.63"
EBITDA,"-789,926,173.19"
ReconciledCostOfRevenue,"9,355,638,068.36","3,617,219,254.41","941,358,195.47","1,874,140,350.2","2,148,523,782.02","1,117,971,236.93","380,735,898.53"
ReconciledDepreciation,,"368,263,554.84","214,129,143.63","102,676,002.36","52,428,497.25","9,643,628.91","19,472,625.18"
NetIncomeFromContinuingOperationNetMinorityInterest,"-810,413,977.33","-952,720,292.43","-331,004,259.32","131,227,665.49","-78,214,828.3","18,261,332.45","7,343,587.82"
TotalUnusualItemsExcludingGoodwill,"-256,643,196.24","38,716,318.91","-153,665,945.92","-28,447,686.3","-72,987,817.38","-32,738,710.38","-2,373,195.87"
TotalUnusualItems,"-256,643,196.24","38,716,318.91","-153,665,945.92","-28,447,686.3","-72,987,817.38","-32,738,710.38","-2,373,195.87"
NormalizedEBITDA,"-533,282,976.95","-717,940,143.33","-21,667,178.23","297,970,484.84","45,037,834.22","75,894,840.11","31,488,784.68"
TaxRateForCalcs,"0.132","0.148","0.191","0.078","0.236","0.083","0.037"
TaxEffectOfUnusualItems,"-33,926,878.192","5,720,070.72","-29,359,384.867","-2,210,190.955","-17,209,908.822","-2,705,528.253","-88,820.743"
