name,12/31/21,12/31/20,12/31/19,12/31/18,12/31/17,12/31/16,12/31/15,12/31/14
TotalExpenses,"110,335,036,500","43,062,545,567.52","39,089,952,018.18","24,526,221,232.48","16,143,920,391.69","11,270,436,786.37","4,490,327,428.51","839,355,939.96"
NetIncomeFromContinuingAndDiscontinuedOperation,"15,931,317,900","5,583,338,710.38","4,560,307,432.71","3,387,035,207.64","3,877,954,869.70","2,851,821,419.26","930,646,375.10","54,425,751.28"
NormalizedIncome,"18,086,106,651.83","6,694,246,331.31","6,099,568,864.66","4,334,556,710.87","4,157,427,918.05","3,188,333,907.37","981,830,889.86","56,823,076.85"
InterestIncome,"2,323,262,000","1,494,600,958.67","1,078,256,966.28","488,228,181.59","76,062,169.20","-25,420,813.45","5,871,220.61",
InterestExpense,"1,161,100,400","640,434,316.54","289,254,465.49","204,435,332.83","98,824,909.51","63,531,899.75","112,383,532.29","24,573,664.53"
NetInterestIncome,"1,060,428,700","830,549,600.73","758,110,087.53","259,967,279.39","-36,001,310.82","-94,575,553.71","-110,658,617.01","-24,573,664.53"
EBIT,"21,048,229,500","7,622,987,725.78","6,050,019,029.74","4,409,248,584.76","4,946,925,133.79","3,463,745,605.05","1,212,415,675.84","27,430,421.59"
ReconciledCostOfRevenue,"96,093,722,300","36,349,153,592.22","32,482,760,512.62","19,902,284,153.15","12,740,187,148.70","8,376,801,892.40","3,499,202,013.73","643,729,807.47"
ReconciledDepreciation,"6,096,371,000","4,712,041,608.58","4,251,740,436.69","2,220,844,090.82","1,354,639,798.10","779,416,021.52","189,087,668.57","67,226,300"
NetIncomeFromContinuingOperationNetMinorityInterest,"15,931,317,900","5,583,338,710.38","4,560,307,432.71","3,387,035,207.64","3,877,954,869.70","2,851,821,419.26","930,646,375.10","54,425,751.28"
TotalUnusualItemsExcludingGoodwill,"-2,399,261,500","-1,270,818,469.25","-1,768,980,566.65","-1,066,451,114.58","-323,055,572.40","-392,064,118.98","-59,231,782.54","-2,693,574.31"
TotalUnusualItems,"-2,399,261,500","-1,270,818,469.25","-1,768,980,566.65","-1,066,451,114.58","-323,055,572.40","-392,064,118.98","-59,231,782.54","-2,693,574.31"
NormalizedEBITDA,"29,543,862,000","13,605,847,803.61","12,070,740,033.08","7,696,543,790.16","6,624,620,504.29","4,635,225,745.55","1,460,735,126.95","97,350,295.90"
TaxRateForCalcs,0.102,0.126,0.13,0.112,0.135,0.142,0.136,0.11
TaxEffectOfUnusualItems,"-244,472,748.17","-159,910,848.32","-229,719,134.70","-118,929,611.35","-43,582,524.05","-55,551,630.87","-8,047,267.78","-296,248.74"
